year,month_monday,state,district,locality,total_locality_cases,outbreak_duration_days,total_state_cases,total_state_deaths,total_rainfall_mm,mean_wind_speed,total_solar_radiation_mjm2,days_in_month,weeks_in_month
2010,3,SELANGOR,MBPJ,Taman Indah Jaya Pjs 4,8.0,32.0,381.0,2.0,72.06666666666669,1.3190476190476192,108.745,7,1
2010,3,SELANGOR,MBSA,Kolej Jati,22.0,43.5,963.0,5.0,134.96666666666667,1.3666666666666667,290.57000000000005,14,2
2010,3,SELANGOR,MBSA,Seksyen 7D,19.0,43.5,963.0,5.0,134.96666666666667,1.3666666666666667,290.57000000000005,14,2
2010,3,SELANGOR,MBSA,Seksyen 7D (Teres -Jalan 7/63),16.0,68.0,425.0,1.0,34.333333333333336,1.4190476190476191,59.175,7,1
2010,3,SELANGOR,MBSA,Seksyen 7D (Teres Jalan 7/63),13.0,61.0,381.0,2.0,72.06666666666669,1.3190476190476192,108.745,7,1
2010,3,SELANGOR,MBSA,Subang Suria & Hijauan Seksyen U5,7.0,30.0,467.0,3.0,73.0,1.4428571428571428,142.21499999999997,7,1
2010,3,SELANGOR,MPAJ,Au2 Taman Keramat (Zon A),8.0,30.0,381.0,2.0,72.06666666666669,1.3190476190476192,108.745,7,1
2010,3,SELANGOR,MPAJ,Au3/1 Taman Keramat (Zon A),24.0,36.5,828.0,2.0,119.06666666666669,1.3880952380952383,250.57500000000002,14,2
2010,3,SELANGOR,MPAJ,Au5D Taman Keramat (Zon A),17.0,63.5,963.0,5.0,134.96666666666667,1.3666666666666667,290.57000000000005,14,2
2010,3,SELANGOR,MPAJ,Pandah Indah (Zon C),11.0,30.0,447.0,0.0,47.0,1.4571428571428573,141.83,7,1
2010,3,SELANGOR,MPAJ,Pandan Indah (Zon B Episod B),10.0,38.0,496.0,2.0,61.96666666666666,1.2904761904761906,148.35500000000005,7,1
2010,3,SELANGOR,MPAJ,Pandan Indah (Zon C),11.0,37.0,381.0,2.0,72.06666666666669,1.3190476190476192,108.745,7,1
2010,3,SELANGOR,MPAJ,Pandan Jaya (Zon B),18.0,33.5,806.0,3.0,106.40000000000003,1.369047619047619,167.92000000000002,14,2
