state,iso_year,week,year,total_rainfall_mm,mean_wind_speed,total_solar_radiation_mjm2,days_in_week
Federal territory of Malaysia,2010,18,2010,17.000000000000004,1.5285714285714285,,7
Federal territory of Malaysia,2010,19,2010,64.80000000000001,1.4285714285714286,,7
Federal territory of Malaysia,2010,20,2010,58.2,1.557142857142857,,7
Federal territory of Malaysia,2010,21,2010,-77.89999999999999,1.3142857142857145,,7
Federal territory of Malaysia,2010,22,2010,-16.899999999999995,1.4285714285714286,,7
Federal territory of Malaysia,2010,23,2010,297.69999999999993,1.7142857142857142,,7
Federal territory of Malaysia,2010,24,2010,21.400000000000002,1.9,,7
Federal territory of Malaysia,2010,25,2010,74.6,1.757142857142857,,7
Federal territory of Malaysia,2010,26,2010,14.100000000000005,1.614285714285714,,7
Federal territory of Malaysia,2010,27,2010,48.4,1.8285714285714287,,7
Federal territory of Malaysia,2010,28,2010,101.4,1.4142857142857141,,7
Federal territory of Malaysia,2010,29,2010,74.60000000000001,2.014285714285714,,7
Federal territory of Malaysia,2010,30,2010,66.6,1.6714285714285713,,7
Federal territory of Malaysia,2010,31,2010,228.0,2.0714285714285716,,7
Federal territory of Malaysia,2010,32,2010,45.10000000000001,1.6571428571428573,,7
Federal territory of Malaysia,2010,33,2010,337.2,1.757142857142857,,7
Federal territory of Malaysia,2010,34,2010,-28.499999999999996,1.542857142857143,,7
Federal territory of Malaysia,2010,35,2010,88.5,1.4714285714285715,,7
Federal territory of Malaysia,2010,36,2010,375.99999999999994,1.7571428571428573,,7
Federal territory of Malaysia,2010,37,2010,119.2,1.5571428571428572,,7
Federal territory of Malaysia,2010,38,2010,75.2,1.7285714285714289,,7
Federal territory of Malaysia,2010,39,2010,224.59999999999997,2.2285714285714286,,7
Federal territory of Malaysia,2010,40,2010,79.60000000000001,2.9,,7
Federal territory of Malaysia,2010,41,2010,13.6,1.6857142857142855,,7
Federal territory of Malaysia,2010,42,2010,-27.899999999999995,1.5999999999999999,,7
Federal territory of Malaysia,2010,43,2010,123.0,1.9857142857142858,,7
Federal territory of Malaysia,2010,44,2010,198.0,1.5428571428571427,,7
Federal territory of Malaysia,2010,45,2010,66.89999999999999,1.5714285714285712,,7
Federal territory of Malaysia,2010,46,2010,167.39999999999998,1.5142857142857142,,7
Federal territory of Malaysia,2010,47,2010,180.60000000000002,1.7142857142857142,,7
Federal territory of Malaysia,2010,48,2010,20.2,1.5142857142857145,,7
Federal territory of Malaysia,2010,49,2010,142.4,2.185714285714286,,7
Federal territory of Malaysia,2010,50,2010,88.6,1.7,,7
